chapter,W,K,T,d,H_shannon,input_bits,output_bits,logical_vars,logical_clauses,kappa_empirical
The Axiom of Blindness,10.0,184,1,1,6.90689059560852,0.0,120,0,0,0.05434782608695652
Game of Life,900.0,264,4,2,0.0,0.0,680,0,0,3.409090909090909
Lensing,0.0,0.0,1,2,0.0,0.0,0.0,0,0,0.0
N-Body and FLRW,0.0,0.0,1,6,0.0,0.0,0.0,0,0,0.0
Phyllotaxis,0.0,0.0,1,2,0.0,0.0,0.0,0,0,0.0
Mandelbrot,5444.0,312,50,2,0.0,0.0,4160,0,0,17.44871794871795
Universality,0.0,112,1,0,0.0,0.0,48,0,0,0.0
The Thiele Machine,0.0,0.0,1,0,0.0,0.0,0.0,0,0,0.0
NUSD Law,0.0,72,1,0,0.0,0.0,8,0,0,0.0
Universality Demonstration,0.0,992,1,0,0.0,0.0,1432,0,0,0.0
Physical Realization,0.0,96,2,3,0.0,0.0,32,0,0,0.0
Scale Comparison,0.0,96,1,0,0.0,0.0,32,0,0,0.0
Capstone Demonstration,0.0,224,1,0,0.0,0.0,224,0,0,0.0
Process Isomorphism,0.0,280,1,0,0.0,0.0,304,0,0,0.0
Geometric Logic,0.0,240,1,0,0.0,0.0,200,0,0,0.0
Finite Bounded-Step Halting Experiments,0.0,264,1,1,0.0,0.0,1200,0,0,0.0
Geometry of Truth,119.4498655,264,1,0,0.0,0.0,560,0,0,0.4524616117424243
Geometry of Coherence,7.4619138,96,1,0,0.0,0.0,32,0,0,0.07772826875
Conclusion,7.4619138,96.0,1,0,0.0,0.0,0.0,0,0,0.07772826875
