Experiment,W_actual,W_pred,Residual,K,d,T,Pass(W>=Pred)
Axiom of Blindness,10.0,-31.625418882446183,41.62541888244618,184.0,1.0,1.0,True
Capstone Demonstration,0.0,-26.001923185645325,26.001923185645325,224.0,1.0,1.0,True
Conclusion,7.46,-43.997109415408104,51.457109415408105,96.0,1.0,1.0,True
Game of Life,900.0,622.0893221899,277.91067781009997,264.0,4.0,2.0,True
Geometric Logic,0.0,-23.752524906924975,23.752524906924975,240.0,1.0,1.0,True
Geometry of Coherence,7.46,-43.997109415408104,51.457109415408105,96.0,1.0,1.0,True
Geometry of Truth,112.0,302.4801697872382,-190.4801697872382,264.0,1.0,4.0,False
Halting Experiments,0.0,-20.378427488844466,20.378427488844466,264.0,1.0,1.0,True
Lensing,0.0,120.789239996731,-120.789239996731,0.0,2.0,1.0,False
Mandelbrot,5444.0,5438.009595274461,5.99040472553861,312.0,2.0,50.0,True
N-Body and FLRW,0.0,299.07197908119224,-299.07197908119224,0.0,3.0,1.0,False
NUSD Law,0.0,-47.37120683348863,47.37120683348863,72.0,1.0,1.0,True
Phyllotaxis,0.0,120.789239996731,-120.789239996731,0.0,2.0,1.0,False
Physical Realization,0.0,-43.997109415408104,43.997109415408104,96.0,1.0,1.0,True
Process Isomorphism,0.0,-18.129029210124088,18.129029210124088,280.0,1.0,1.0,True
Reversal,5.0,-56.790562125630075,61.790562125630075,5.0,1.0,1.0,True
Scale Comparison,0.0,-43.997109415408104,43.997109415408104,96.0,1.0,1.0,True
Thiele Machine,0.0,-57.493499087730186,57.493499087730186,0.0,1.0,1.0,True
Universality,0.0,-41.747711136687755,41.747711136687755,112.0,1.0,1.0,True
Universality Demo,0.0,81.96919419293135,-81.96919419293135,992.0,1.0,1.0,False
